,Date,Open,High,Low,Close,Adj Close,Volume,rsi,crossAbove30,lookback10
208,10/9/1981,0.33258899999999997,0.337054,0.33258899999999997,0.33258899999999997,0.26414899999999997,13630400,46.30449318075949,0,0
209,10/12/1981,0.34375,0.345982,0.34375,0.34375,0.273013,6837600,46.5572762588193,0,0
210,10/13/1981,0.34375,0.34821399999999997,0.34375,0.34375,0.273013,11048800,46.5572762588193,0,0
211,10/14/1981,0.325893,0.325893,0.32366100000000003,0.32366100000000003,0.257058,7744800,45.317620821769474,0,0
212,10/15/1981,0.330357,0.33258899999999997,0.330357,0.330357,0.262376,7358400,44.776966497131326,0,0
213,10/16/1981,0.328125,0.328125,0.325893,0.325893,0.258831,9116800,45.904039677999606,0,0
214,10/19/1981,0.33258899999999997,0.334821,0.33258899999999997,0.33258899999999997,0.26414899999999997,5146400,45.38121933541486,0,0
215,10/20/1981,0.350446,0.352679,0.350446,0.350446,0.278332,8932000,46.91239323918216,0,0
216,10/21/1981,0.350446,0.352679,0.350446,0.350446,0.278332,19224800,46.91239323918216,0,0
217,10/22/1981,0.350446,0.350446,0.34821399999999997,0.34821399999999997,0.276559,8069600,48.406005928688195,0,0
218,10/23/1981,0.341518,0.341518,0.33928600000000003,0.33928600000000003,0.269467,6977600,48.77234579440137,0,0
219,10/26/1981,0.33928600000000003,0.341518,0.33928600000000003,0.33928600000000003,0.269467,6820800,48.77234579440137,0,0
220,10/27/1981,0.345982,0.350446,0.345982,0.345982,0.27478600000000003,21397600,48.1458929766446,0,0
221,10/28/1981,0.357143,0.359375,0.357143,0.357143,0.28365,11043200,48.314064146630145,0,0
222,10/29/1981,0.35491100000000003,0.35491100000000003,0.352679,0.352679,0.280104,7621600,49.41994820247998,0,0
223,10/30/1981,0.357143,0.359375,0.357143,0.357143,0.28365,13182400,48.375187086450595,0,0
224,11/2/1981,0.357143,0.359375,0.357143,0.357143,0.28365,9228800,48.375187086450595,0,0
225,11/3/1981,0.35491100000000003,0.35491100000000003,0.352679,0.352679,0.280104,7095200,49.44788713943289,0,0
226,11/4/1981,0.345982,0.345982,0.34375,0.34375,0.273013,5952800,49.68060418103024,0,0
227,11/5/1981,0.321429,0.321429,0.319196,0.319196,0.253512,5840800,47.17379535429808,0,0
228,11/6/1981,0.321429,0.32366100000000003,0.321429,0.321429,0.255285,6148800,45.79629270200536,0,0
229,11/9/1981,0.325893,0.328125,0.325893,0.325893,0.258831,5096000,44.92425133206838,0,0
230,11/10/1981,0.328125,0.330357,0.328125,0.328125,0.260604,4188800,43.59123413755137,0,0
231,11/11/1981,0.337054,0.33928600000000003,0.337054,0.337054,0.26769499999999996,6860000,43.77515011698186,0,0
232,11/12/1981,0.34821399999999997,0.350446,0.34821399999999997,0.34821399999999997,0.276559,9979200,44.357559945318236,0,0
233,11/13/1981,0.325893,0.325893,0.32366100000000003,0.32366100000000003,0.257058,5252800,42.31744430581252,0,0
234,11/16/1981,0.321429,0.321429,0.319196,0.319196,0.253512,5639200,43.393007734169636,0,0
235,11/17/1981,0.325893,0.328125,0.325893,0.325893,0.258831,8853600,43.0860644550277,0,0
236,11/18/1981,0.337054,0.33928600000000003,0.337054,0.337054,0.26769499999999996,7285600,43.71861479698442,0,0
237,11/19/1981,0.337054,0.33928600000000003,0.337054,0.337054,0.26769499999999996,10001600,43.71861479698442,0,0
238,11/20/1981,0.33928600000000003,0.341518,0.33928600000000003,0.33928600000000003,0.269467,9525600,42.38206404294096,0,0
